Here is a comprehensive list of movie remakes:
Classic Era Remakes (Pre-1970)
Stella Dallas (1937) | Stella Dallas (1925)
Sleuth (2007) | Sleuth (1972)
Hairspray (2007) | Hairspray (1988)
The Heartbreak Kid (2007) | The Heartbreak Kid (1972)
Funny Games (2007) | Funny Games (1997)
The Invasion (2007) | Invasion of the Body Snatchers (1956)
I Am Legend (2007) | The Omega Man (1971)
The Day the Earth Stood Still (2008) | The Day the Earth Stood Still (1951)
Prom Night (2008) | Prom Night (1980)
Bangkok Dangerous (2008) | Bangkok Dangerous (1999)
Death Race (2008) | Death Race 2000 (1975)
Mirrors (2008) | Into the Mirror (2003)
One Missed Call (2008) | One Missed Call (2003)
The Eye (2008) | The Eye (2002)
Shutter (2008) | Shutter (2004)
My Sassy Girl (2008) | My Sassy Girl (2001)
The Women (2008) | The Women (1939)
Friday the 13th (2009) | Friday the 13th (1980)
My Bloody Valentine 3D (2009) | My Bloody Valentine (1981)
The Last House on the Left (2009) | The Last House on the Left (1972)
Sorority Row (2009) | The House on Sorority Row (1983)
Night of the Demons (2009) | Night of the Demons (1988)
The Uninvited (2009) | A Tale of Two Sisters (2003)
Brothers (2009) | Brødre (2004)
Hachi: A Dog's Tale (2009) | Hachiko Monogatari (1987)
Fame (2009) | Fame (1980)
Race to Witch Mountain (2009) | Escape to Witch Mountain (1975)
It's Alive (2009) | It's Alive (1974)
2010s Remakes
A Nightmare on Elm Street (2010) | A Nightmare on Elm Street (1984)
Clash of the Titans (2010) | Clash of the Titans (1981)
The Karate Kid (2010) | The Karate Kid (1984)
The Wolfman (2010) | The Wolf Man (1941)
The Crazies (2010) | The Crazies (1973)
Let Me In (2010) | Let the Right One In (2008)
Piranha 3D (2010) | Piranha (1978)
I Spit on Your Grave (2010) | I Spit on Your Grave (1978)
Don't Be Afraid of the Dark (2010) | Don't Be Afraid of the Dark (1973)
The Next Three Days (2010) | Pour Elle (2008)
Mother's Day (2010) | Mother's Day (1980)
Dinner for Schmucks (2010) | The Dinner Game (1998)
The Tourist (2010) | Anthony Zimmer (2005)
Footloose (2011) | Footloose (1984)
Conan the Barbarian (2011) | Conan the Barbarian (1982)
Fright Night (2011) | Fright Night (1985)
Arthur (2011) | Arthur (1981)
Straw Dogs (2011) | Straw Dogs (1971)
The Girl with the Dragon Tattoo (2011) | The Girl with the Dragon Tattoo (2009)
Silent House (2011) | La Casa Muda (2010)
The Mechanic (2011) | The Mechanic (1972)
Total Recall (2012) | Total Recall (1990)
Red Dawn (2012) | Red Dawn (1984)
Maniac (2012) | Maniac (1980)
Sparkle (2012) | Sparkle (1976)
Contraband (2012) | Reykjavik-Rotterdam (2008)
LOL (2012) | LOL (2008)
Silent Night (2012) | Silent Night, Deadly Night (1984)
Evil Dead (2013) | The Evil Dead (1981)
Carrie (2013) | Carrie (1976)
Oldboy (2013) | Oldboy (2003)
The Secret Life of Walter Mitty (2013) | The Secret Life of Walter Mitty (1947)
RoboCop (2014) | RoboCop (1987)
About Last Night (2014) | About Last Night... (1986)
Annie (2014) | Annie (1982)
Godzilla (2014) | Godzilla (1954)
The Town That Dreaded Sundown (2014) | The Town That Dreaded Sundown (1976)
Poltergeist (2015) | Poltergeist (1982)
Point Break (2015) | Point Break (1991)
Cinderella (2015) | Cinderella (1950)
The Secret in Their Eyes (2015) | The Secret in Their Eyes (2009)
Martyrs (2015) | Martyrs (2008)
Ghostbusters (2016) | Ghostbusters (1984)
Ben-Hur (2016) | Ben-Hur (1959)
The Magnificent Seven (2016) | The Magnificent Seven (1960)
The Jungle Book (2016) | The Jungle Book (1967)
Pete's Dragon (2016) | Pete's Dragon (1977)
Cabin Fever (2016) | Cabin Fever (2002)
The BFG (2016) | The BFG (1989)
Beauty and the Beast (2017) | Beauty and the Beast (1991)
It (2017) | It (1990)
Flatliners (2017) | Flatliners (1990)
Papillon (2017) | Papillon (1973)
Murder on the Orient Express (2017) | Murder on the Orient Express (1974)
The Mummy (2017) | The Mummy (1932)
The Beguiled (2017) | The Beguiled (1971)
A Star is Born (2018) | A Star is Born (1976)
Suspiria (2018) | Suspiria (1977)
Overboard (2018) | Overboard (1987)
Death Wish (2018) | Death Wish (1974)
Child's Play (2019) | Child's Play (1988)
Pet Sematary (2019) | Pet Sematary (1989)
Aladdin (2019) | Aladdin (1992)
The Lion King (2019) | The Lion King (1994)
Lady and the Tramp (2019) | Lady and the Tramp (1955)
Dumbo (2019) | Dumbo (1941)
Hellboy (2019) | Hellboy (2004)
Jacob's Ladder (2019) | Jacob's Ladder (1990)
Black Christmas (2019) | Black Christmas (1974)
The Hustle (2019) | Dirty Rotten Scoundrels (1988)
The Upside (2019) | The Intouchables (2011)
What Men Want (2019) | What Women Want (2000)
2020s Remakes
The Invisible Man (2020) | The Invisible Man (1933)
Mulan (2020) | Mulan (1998)
The Witches (2020) | The Witches (1990)
Rebecca (2020) | Rebecca (1940)
The Secret Garden (2020) | The Secret Garden (1993)
Downhill (2020) | Force Majeure (2014)
The Grudge (2020) | Ju-On: The Grudge (2002)
Dune (2021) | Dune (1984)
West Side Story (2021) | West Side Story (1961)
Nightmare Alley (2021) | Nightmare Alley (1947)
CODA (2021) | La Famille Bélier (2014)
He's All That (2021) | She's All That (1999)
Home Sweet Home Alone (2021) | Home Alone (1990)
Death on the Nile (2022) | Death on the Nile (1978)
Father of the Bride (2022) | Father of the Bride (1991)
Pinocchio (2022) | Pinocchio (1940)
Firestarter (2022) | Firestarter (1984)
Hellraiser (2022) | Hellraiser (1987)
Cheaper by the Dozen (2022) | Cheaper by the Dozen (2003)
Goodnight Mommy (2022) | Goodnight Mommy (2014)
Matilda the Musical (2022) | Matilda (1996)
The Little Mermaid (2023) | The Little Mermaid (1989)
Peter Pan & Wendy (2023) | Peter Pan (1953)
House Party (2023) | House Party (1990)
White Men Can't Jump (2023) | White Men Can't Jump (1992)
The Color Purple (2023) | The Color Purple (1985)
Mean Girls (2024) | Mean Girls (2004)
Road House (2024) | Road House (1989)
The Crow (2024) | The Crow (1994)
Speak No Evil (2024) | Speak No Evil (2022)
Nosferatu (2024) | Nosferatu (1922)
Salem's Lot (2024) | Salem's Lot (1979)
The Wages of Fear (2024) | The Wages of Fear (1953)
Snow White (2025) | Snow White and the Seven Dwarfs (1937)
Lilo & Stitch (2025) | Lilo & Stitch (2002)


Then, The Thing (1982)
