# Idioms by Language

This is a extensive (though inevitably incomplete) list. I've tried to span as many languages and idioms as I can recall.

---

## English

Break a leg | English
Tomar el pelo | Spanish
Meter la pata | Spanish
Ser pan comido | Spanish
Dar en el clavo | Spanish
Echar agua al mar | Spanish
Estar como una cabra | Spanish
No tener pelos en la lengua | Spanish
Tirar la casa por la ventana | Spanish
Ponerse las pilas | Spanish
Dar gato por liebre | Spanish
Costar un ojo de la cara | Spanish
Estar entre la espada y la pared | Spanish
Llover a cántaros | Spanish
Matar dos pájaros de un tiro | Spanish
Más vale tarde que nunca | Spanish
No hay mal que por bien no venga | Spanish
Irse por las ramas | Spanish
Ser uña y carne | Spanish
Meter cizaña | Spanish
Ahogarse en un vaso de agua | Spanish
A caballo regalado no le mires el diente | Spanish
El que mucho abarca poco aprieta | Spanish
Echar leña al fuego | Spanish
No ver tres en un burro | Spanish
Buscar una aguja en un pajar | Spanish
Dar la vuelta a la tortilla | Spanish
Empezar la casa por el tejado | Spanish
Estar como pez en el agua | Spanish
Matar el gusanillo | Spanish
Ir al grano | Spanish
Tener la sartén por el mango | Spanish
Quedarse de piedra | Spanish
Dar calabazas | Spanish
Dormir como un tronco | Spanish
Echar una mano | Spanish
Hacer de tripas corazón | Spanish
Irse por los cerros de Úbeda | Spanish
Llevar agua a su molino | Spanish
Mandar a freír espárragos | Spanish
No dar pie con bola | Spanish
Pagar los platos rotos | Spanish
Pasar la noche en blanco | Spanish
Poner el dedo en la llaga | Spanish
Tener mala leche | Spanish
A buen entendedor pocas palabras bastan | Spanish
Caer en saco roto | Spanish
Cada loco con su tema | Spanish
Cortar por lo sano | Spanish
Darse con un canto en los dientes | Spanish
De tal palo tal astilla | Spanish
Echar raíces | Spanish
El hábito no hace al monje | Spanish
En boca cerrada no entran moscas | Spanish
Estar con el agua al cuello | Spanish
Estar hecho polvo | Spanish
Hilar fino | Spanish
Ir de mal en peor | Spanish
La gota que colmó el vaso | Spanish
Las paredes oyen | Spanish
Llover sobre mojado | Spanish
Más vale prevenir que curar | Spanish
Meter la cuchara | Spanish
No hay moros en la costa | Spanish
No tener ni pies ni cabeza | Spanish
Ojos que no ven, corazón que no siente | Spanish
Perro que ladra no muerde | Spanish
Poner pies en polvorosa | Spanish
Quien siembra vientos recoge tempestades | Spanish
Sacar las castañas del fuego | Spanish
Ser el ojo derecho de alguien | Spanish
Tener sangre fría | Spanish
Vivir del cuento | Spanish
Zapatero a tus zapatos | Spanish
Hacer la vista gorda | Spanish
Tener memoria de elefante | Spanish
Dormirse en los laureles | Spanish
Cada maestrillo tiene su librillo | Spanish
Consultar con la almohada | Spanish
Poner toda la carne en el asador | Spanish
Ser la oveja negra | Spanish
Verlo todo de color de rosa | Spanish
Tener un as en la manga | Spanish
A falta de pan, buenas son tortas | Spanish
Coger el toro por los cuernos | Spanish
Dios los cría y ellos se juntan | Spanish
Estar en las últimas | Spanish
Hablando del rey de Roma | Spanish
Hacer castillos en el aire | Spanish
Ir viento en popa | Spanish
Miel sobre hojuelas | Spanish
No hay rosa sin espinas | Spanish
Quedarse con la boca abierta | Spanish
Tener mariposas en el estómago | Spanish
Valer su peso en oro | Spanish

---

## French

Avoir le cafard | French
Coûter les yeux de la tête | French
Mettre son grain de sel | French
Tomber dans les pommes | French
Poser un lapin | French
Avoir la moutarde qui monte au nez | French
Appeler un chat un chat | French
Avoir d'autres chats à fouetter | French
C'est la goutte d'eau qui fait déborder le vase | French
Donner sa langue au chat | French
Il pleut des cordes | French
Quand les poules auront des dents | French
Raconter des salades | French
Se noyer dans un verre d'eau | French
Avoir le cœur sur la main | French
Être dans la lune | French
Faire la grasse matinée | French
Les doigts dans le nez | French
Mettre les pieds dans le plat | French
Avoir un chat dans la gorge | French
Chercher la petite bête | French
En faire tout un fromage | French
Être au bout du rouleau | French
Faire chou blanc | French
Il ne faut pas vendre la peau de l'ours avant de l'avoir tué | French
Jeter l'éponge | French
Manger sur le pouce | French
Mettre de l'eau dans son vin | French
Monter sur ses grands chevaux | French
Avoir une mémoire de poisson rouge | French
Péter les plombs | French
Prendre la mouche | French
Revenons à nos moutons | French
Tourner autour du pot | French
Un froid de canard | French
Vouloir le beurre et l'argent du beurre | French
Avoir la pêche | French
Casser les pieds à quelqu'un | French
Ce n'est pas la mer à boire | French
Couper les cheveux en quatre | French
Être dans de beaux draps | French
Faire d'une pierre deux coups | French
Il y a anguille sous roche | French
Les murs ont des oreilles | French
Mettre la charrue avant les bœufs | French
Perdre le nord | French
Rouler quelqu'un dans la farine | French
Tenir la chandelle | French
Avoir le bras long | French
Courir deux lièvres à la fois | French
Donner un coup de main | French
En avoir ras le bol | French
Être sage comme une image | French
Faire la sourde oreille | French
Il n'y a pas de fumée sans feu | French
Jeter de l'huile sur le feu | French
Manger les pissenlits par la racine | French
Mettre la puce à l'oreille | French
Ne pas être dans son assiette | French
Ouvrir la boîte de Pandore | French
Peigner la girafe | French
Prendre ses jambes à son cou | French
Retourner sa veste | French
Se creuser la tête | French
Sucrer les fraises | French
Tirer les vers du nez | French
Un coup d'épée dans l'eau | French
Vendre la mèche | French
Avoir du pain sur la planche | French
Casser sa pipe | French
Ce qui est fait est fait | French
Couper l'herbe sous le pied | French
Découvrir le pot aux roses | French
En mettre sa main au feu | French
Être sur son trente-et-un | French
Faire le pont | French
Il y a pas de quoi fouetter un chat | French
L'habit ne fait pas le moine | French
Mieux vaut tard que jamais | French
Noyer le poisson | French
Passer du coq à l'âne | French
Pierre qui roule n'amasse pas mousse | French
Poser un lapin à quelqu'un | French
Qui vivra verra | French
Se mettre le doigt dans l'œil | French
Tirer son épingle du jeu | French
Un de perdu, dix de retrouvés | French
Voir la vie en rose | French

---

## German

Ich verstehe nur Bahnhof | German
Das ist mir Wurst | German
Schwein haben | German
Die Daumen drücken | German
Tomaten auf den Augen haben | German
Den Nagel auf den Kopf treffen | German
Alles hat ein Ende, nur die Wurst hat zwei | German
Ins Gras beißen | German
Um den heißen Brei herumreden | German
Da steppt der Bär | German
Das ist nicht mein Bier | German
Einen Kater haben | German
Hummeln im Hintern haben | German
Jemandem auf den Keks gehen | German
Klappe zu, Affe tot | German
Die Kirche im Dorf lassen | German
Zwei Fliegen mit einer Klappe schlagen | German
Seinen Senf dazugeben | German
Da liegt der Hund begraben | German
Den Wald vor lauter Bäumen nicht sehen | German
Ein Brett vor dem Kopf haben | German
Jemandem einen Bären aufbinden | German
Auf dem Holzweg sein | German
Aus einer Mücke einen Elefanten machen | German
Das Kind mit dem Bade ausschütten | German
Den Teufel an die Wand malen | German
Die Katze im Sack kaufen | German
Einem geschenkten Gaul schaut man nicht ins Maul | German
Eulen nach Athen tragen | German
Fünf gerade sein lassen | German
Jemandem die Daumen drücken | German
Kein Blatt vor den Mund nehmen | German
Morgenstund hat Gold im Mund | German
Nicht alle Tassen im Schrank haben | German
Öl ins Feuer gießen | German
Perlen vor die Säue werfen | German
Sich in die Nesseln setzen | German
Über den Tellerrand schauen | German
Viele Köche verderben den Brei | German
Wer im Glashaus sitzt, sollte nicht mit Steinen werfen | German
Wo sich Fuchs und Hase gute Nacht sagen | German
Andere Länder, andere Sitten | German
Auf Wolke sieben schweben | German
Butter bei die Fische geben | German
Das Ei des Kolumbus | German
Den Braten riechen | German
Die Flinte ins Korn werfen | German
Ein Auge zudrücken | German
Etwas auf die hohe Kante legen | German
Gift und Galle spucken | German
Jemandem Honig um den Mund schmieren | German
Kleine Brötchen backen | German
Mit dem Feuer spielen | German
Noch ist nicht aller Tage Abend | German
Pech haben | German
Sich den Kopf zerbrechen | German
Unter einer Decke stecken | German
Vom Regen in die Traufe kommen | German
Wer zuletzt lacht, lacht am besten | German
Wie ein Elefant im Porzellanladen | German

---

## Italian

In bocca al lupo | Italian
Non tutte le ciambelle riescono col buco | Italian
Avere le mani in pasta | Italian
Costare un occhio della testa | Italian
Fare il diavolo a quattro | Italian
Prendere due piccioni con una fava | Italian
Acqua in bocca | Italian
Essere al settimo cielo | Italian
Chi dorme non piglia pesci | Italian
Non è farina del tuo sacco | Italian
Avere la botte piena e la moglie ubriaca | Italian
Chi la fa l'aspetti | Italian
Fare orecchie da mercante | Italian
Mettere il carro davanti ai buoi | Italian
Non c'è rosa senza spine | Italian
Piantare in asso | Italian
Stare con le mani in mano | Italian
Tra il dire e il fare c'è di mezzo il mare | Italian
Volere la botte piena e la moglie ubriaca | Italian
A caval donato non si guarda in bocca | Italian
Avere la coda di paglia | Italian
Cadere dalla padella nella brace | Italian
Chi trova un amico trova un tesoro | Italian
Dare un colpo al cerchio e uno alla botte | Italian
Essere come il prezzemolo | Italian
Fare le corna | Italian
Gettare acqua sul fuoco | Italian
Il lupo perde il pelo ma non il vizio | Italian
L'abito non fa il monaco | Italian
Meglio un uovo oggi che una gallina domani | Italian
Non fare il passo più lungo della gamba | Italian
Ogni medaglia ha il suo rovescio | Italian
Piove sul bagnato | Italian
Quando il gatto non c'è, i topi ballano | Italian
Ride bene chi ride ultimo | Italian
Tanto va la gatta al lardo che ci lascia lo zampino | Italian
Una rondine non fa primavera | Italian
Avere un diavolo per capello | Italian
Chi va piano va sano e va lontano | Italian
Essere in gamba | Italian
Fare buon viso a cattivo gioco | Italian
L'appetito vien mangiando | Italian
Meglio tardi che mai | Italian
Non vedere l'ora | Italian
Salvare capra e cavoli | Italian
Tirare l'acqua al proprio mulino | Italian
Tutte le strade portano a Roma | Italian

---

## Portuguese

Engolir sapos | Portuguese
Pagar o pato | Portuguese
Chutar o balde | Portuguese
Estar com a pulga atrás da orelha | Portuguese
Dar com os burros n'água | Portuguese
Maria vai com as outras | Portuguese
Matar a cobra e mostrar o pau | Portuguese
Enfiar o pé na jaca | Portuguese
Pisar em ovos | Portuguese
Bater na mesma tecla | Portuguese
Quem não tem cão, caça com gato | Portuguese
Água mole em pedra dura, tanto bate até que fura | Portuguese
De grão em grão a galinha enche o papo | Portuguese
Ficar a ver navios | Portuguese
Matar dois coelhos com uma cajadada só | Portuguese
Não contar com o ovo no cu da galinha | Portuguese
Pensar na morte da bezerra | Portuguese
Quem com ferro fere, com ferro será ferido | Portuguese
São outros quinhentos | Portuguese
Trocar seis por meia dúzia | Portuguese
Custar os olhos da cara | Portuguese
Deus ajuda quem cedo madruga | Portuguese
Em terra de cego, quem tem um olho é rei | Portuguese
Fazer tempestade em copo d'água | Portuguese
Meter os pés pelas mãos | Portuguese
Não ter papas na língua | Portuguese
Quem não arrisca não petisca | Portuguese
Soltar os cachorros | Portuguese
Tapar o sol com a peneira | Portuguese
Ter o rei na barriga | Portuguese
Uma andorinha só não faz verão | Portuguese
Vestir a camisa | Portuguese
A cavalo dado não se olha os dentes | Portuguese
Chorar sobre leite derramado | Portuguese
Dar uma de João sem braço | Portuguese

---

## Mandarin Chinese

画蛇添足 (huà shé tiān zú) | Mandarin Chinese
对牛弹琴 (duì niú tán qín) | Mandarin Chinese
守株待兔 (shǒu zhū dài tù) | Mandarin Chinese
掩耳盗铃 (yǎn ěr dào líng) | Mandarin Chinese
塞翁失马 (sài wēng shī mǎ) | Mandarin Chinese
杯弓蛇影 (bēi gōng shé yǐng) | Mandarin Chinese
井底之蛙 (jǐng dǐ zhī wā) | Mandarin Chinese
狐假虎威 (hú jiǎ hǔ wēi) | Mandarin Chinese
亡羊补牢 (wáng yáng bǔ láo) | Mandarin Chinese
班门弄斧 (bān mén nòng fǔ) | Mandarin Chinese
一石二鸟 (yī shí èr niǎo) | Mandarin Chinese
九牛一毛 (jiǔ niú yī máo) | Mandarin Chinese
马到成功 (mǎ dào chéng gōng) | Mandarin Chinese
脚踏实地 (jiǎo tà shí dì) | Mandarin Chinese
半途而废 (bàn tú ér fèi) | Mandarin Chinese
自相矛盾 (zì xiāng máo dùn) | Mandarin Chinese
刻舟求剑 (kè zhōu qiú jiàn) | Mandarin Chinese
拔苗助长 (bá miáo zhù zhǎng) | Mandarin Chinese
卧薪尝胆 (wò xīn cháng dǎn) | Mandarin Chinese
纸上谈兵 (zhǐ shàng tán bīng) | Mandarin Chinese
鹤立鸡群 (hè lì jī qún) | Mandarin Chinese
画龙点睛 (huà lóng diǎn jīng) | Mandarin Chinese
指鹿为马 (zhǐ lù wéi mǎ) | Mandarin Chinese
叶公好龙 (yè gōng hào lóng) | Mandarin Chinese
破釜沉舟 (pò fǔ chén zhōu) | Mandarin Chinese
滥竽充数 (làn yú chōng shù) | Mandarin Chinese
买椟还珠 (mǎi dú huán zhū) | Mandarin Chinese
望梅止渴 (wàng méi zhǐ kě) | Mandarin Chinese
愚公移山 (yú gōng yí shān) | Mandarin Chinese
三人成虎 (sān rén chéng hǔ) | Mandarin Chinese
朝三暮四 (zhāo sān mù sì) | Mandarin Chinese
鸡飞蛋打 (jī fēi dàn dǎ) | Mandarin Chinese
四面楚歌 (sì miàn chǔ gē) | Mandarin Chinese
入乡随俗 (rù xiāng suí sú) | Mandarin Chinese
一箭双雕 (yī jiàn shuāng diāo) | Mandarin Chinese
百闻不如一见 (bǎi wén bù rú yī jiàn) | Mandarin Chinese
不入虎穴焉得虎子 (bù rù hǔ xué yān dé hǔ zǐ) | Mandarin Chinese
吃一堑长一智 (chī yī qiàn zhǎng yī zhì) | Mandarin Chinese
对症下药 (duì zhèng xià yào) | Mandarin Chinese
隔墙有耳 (gé qiáng yǒu ěr) | Mandarin Chinese
过河拆桥 (guò hé chāi qiáo) | Mandarin Chinese
火上浇油 (huǒ shàng jiāo yóu) | Mandarin Chinese
老马识途 (lǎo mǎ shí tú) | Mandarin Chinese
盲人摸象 (máng rén mō xiàng) | Mandarin Chinese
骑虎难下 (qí hǔ nán xià) | Mandarin Chinese
杀鸡取卵 (shā jī qǔ luǎn) | Mandarin Chinese
水落石出 (shuǐ luò shí chū) | Mandarin Chinese
铁杵磨成针 (tiě chǔ mó chéng zhēn) | Mandarin Chinese
物以类聚 (wù yǐ lèi jù) | Mandarin Chinese
心血来潮 (xīn xuè lái cháo) | Mandarin Chinese
一举两得 (yī jǔ liǎng dé) | Mandarin Chinese
有眼无珠 (yǒu yǎn wú zhū) | Mandarin Chinese
鱼目混珠 (yú mù hùn zhū) | Mandarin Chinese
种瓜得瓜 (zhòng guā dé guā) | Mandarin Chinese

---

## Japanese

猿も木から落ちる (saru mo ki kara ochiru) | Japanese
七転び八起き (nana korobi ya oki) | Japanese
猫の手も借りたい (neko no te mo karitai) | Japanese
花より団子 (hana yori dango) | Japanese
石の上にも三年 (ishi no ue ni mo san nen) | Japanese
馬の耳に念仏 (uma no mimi ni nenbutsu) | Japanese
口は災いのもと (kuchi wa wazawai no moto) | Japanese
二兎を追う者は一兎をも得ず (nito wo ou mono wa itto wo mo ezu) | Japanese
出る杭は打たれる (deru kui wa utareru) | Japanese
蛙の子は蛙 (kaeru no ko wa kaeru) | Japanese
灯台下暗し (tōdai moto kurashi) | Japanese
棚からぼたもち (tana kara botamochi) | Japanese
猫に小判 (neko ni koban) | Japanese
豚に真珠 (buta ni shinju) | Japanese
三日坊主 (mikka bōzu) | Japanese
一石二鳥 (isseki nichō) | Japanese
弘法にも筆の誤り (Kōbō ni mo fude no ayamari) | Japanese
雨降って地固まる (ame futte ji katamaru) | Japanese
案ずるより産むが易し (anzuru yori umu ga yasushi) | Japanese
石橋を叩いて渡る (ishibashi wo tataite wataru) | Japanese
以心伝心 (ishin denshin) | Japanese
一期一会 (ichigo ichie) | Japanese
井の中の蛙大海を知らず (i no naka no kawazu taikai wo shirazu) | Japanese
鬼に金棒 (oni ni kanabō) | Japanese
河童の川流れ (kappa no kawanagare) | Japanese
聞くは一時の恥、聞かぬは一生の恥 (kiku wa ittoki no haji, kikanu wa isshō no haji) | Japanese
腐っても鯛 (kusatte mo tai) | Japanese
猿も木から落ちる (saru mo ki kara ochiru) | Japanese
知らぬが仏 (shiranu ga hotoke) | Japanese
住めば都 (sumeba miyako) | Japanese
急がば回れ (isogaba maware) | Japanese
能ある鷹は爪を隠す (nō aru taka wa tsume wo kakusu) | Japanese
早起きは三文の得 (hayaoki wa sanmon no toku) | Japanese
百聞は一見にしかず (hyakubun wa ikken ni shikazu) | Japanese
目から鱗が落ちる (me kara uroko ga ochiru) | Japanese
焼け石に水 (yakeishi ni mizu) | Japanese
良薬は口に苦し (ryōyaku wa kuchi ni nigashi) | Japanese
論より証拠 (ron yori shōko) | Japanese
笑う門には福来たる (warau kado ni wa fuku kitaru) | Japanese
虎穴に入らずんば虎子を得ず (koketsu ni irazunba koji wo ezu) | Japanese
泣きっ面に蜂 (nakittsura ni hachi) | Japanese
猫をかぶる (neko wo kaburu) | Japanese
釘を刺す (kugi wo sasu) | Japanese
腹が立つ (hara ga tatsu) | Japanese
顔が広い (kao ga hiroi) | Japanese
手を焼く (te wo yaku) | Japanese
水に流す (mizu ni nagasu) | Japanese
油を売る (abura wo uru) | Japanese
足を引っ張る (ashi wo hipparu) | Japanese

---

## Korean

눈이 높다 (nun-i nopda) | Korean
발이 넓다 (bal-i neolda) | Korean
식은 죽 먹기 (sigeun juk meokgi) | Korean
소 잃고 외양간 고친다 (so ilko oeyanggan gochinda) | Korean
세 살 버릇 여든까지 간다 (se sal beoreut yeodeunkkaji ganda) | Korean
가는 말이 고와야 오는 말이 곱다 (ganeun mari gowaya oneun mari gopda) | Korean
원숭이도 나무에서 떨어진다 (wonsungido namueseo tteoreojinda) | Korean
하늘의 별 따기 (haneul-ui byeol ttagi) | Korean
고래 싸움에 새우 등 터진다 (gorae ssaumae saeu deung teojinda) | Korean
꿩 먹고 알 먹고 (kkwong meokgo al meokgo) | Korean
낮말은 새가 듣고 밤말은 쥐가 듣는다 (nanmareun saega deutgo bammareun jwiga deutneunda) | Korean
뛰는 놈 위에 나는 놈 있다 (ttwineun nom wie naneun nom itda) | Korean
백지장도 맞들면 낫다 (baekjijangdo matdeulmyeon natda) | Korean
빈 수레가 요란하다 (bin surега yolanhada) | Korean
서당 개 삼 년이면 풍월을 읊는다 (seodang gae sam nyeonimyeon pungworeul eulneunda) | Korean
아니 땐 굴뚝에 연기 날까 (ani ttaen gulttuge yeongi nalkka) | Korean
우물 안 개구리 (umul an gaeguri) | Korean
티끌 모아 태산 (tikkeul moa taesan) | Korean
하나를 보면 열을 안다 (hanareul bomyeon yeoreul anda) | Korean
눈에 넣어도 아프지 않다 (nune neoheodo apeuji anta) | Korean
발 없는 말이 천리 간다 (bal eomneun mari cheonli ganda) | Korean
