[to 'artist'. note that the thinking had a huge list, not sure it actually used it all]

Here is my attempt at a comprehensive list:
Venus of Willendorf | Unknown
Well of Moses | Claus Sluter
Four Crowned Saints | Nanni di Banco
St. John the Baptist (Orsanmichele) | Lorenzo Ghiberti
David | Donatello
Judith and Holofernes | Donatello
Penitent Magdalene | Donatello
St. George | Donatello
Equestrian Statue of Gattamelata | Donatello
Zuccone | Donatello
St. Mark | Donatello
David | Andrea del Verrocchio
Equestrian Statue of Bartolomeo Colleoni | Andrea del Verrocchio
David | Michelangelo
Pietà | Michelangelo
Moses | Michelangelo
Bacchus | Michelangelo
Dying Slave | Michelangelo
Rebellious Slave | Michelangelo
Risen Christ | Michelangelo
Madonna of Bruges | Michelangelo
Pietà Rondanini | Michelangelo
Bandini Pietà | Michelangelo
Night (Medici Chapel) | Michelangelo
Day (Medici Chapel) | Michelangelo
Dawn (Medici Chapel) | Michelangelo
Dusk (Medici Chapel) | Michelangelo
Giuliano de' Medici (Medici Chapel) | Michelangelo
Lorenzo de' Medici (Medici Chapel) | Michelangelo
Brutus | Michelangelo
Medici Madonna | Michelangelo
Perseus with the Head of Medusa | Benvenuto Cellini
Rape of the Sabine Women | Giambologna
Mercury | Giambologna
Hercules and Nessus | Giambologna
Fountain of Neptune (Bologna) | Giambologna
Appennine Colossus | Giambologna
Samson Slaying a Philistine | Giambologna
Equestrian Statue of Cosimo I de' Medici | Giambologna
Hercules and Cacus | Baccio Bandinelli
Fountain of Neptune (Florence) | Bartolomeo Ammannati
Rape of Polyxena | Pio Fedi
Apollo and Daphne | Gian Lorenzo Bernini
David | Gian Lorenzo Bernini
The Ecstasy of Saint Teresa | Gian Lorenzo Bernini
The Rape of Proserpina | Gian Lorenzo Bernini
Aeneas, Anchises, and Ascanius | Gian Lorenzo Bernini
Neptune and Triton | Gian Lorenzo Bernini
Truth Unveiled by Time | Gian Lorenzo Bernini
Blessed Ludovica Albertoni | Gian Lorenzo Bernini
Fountain of the Four Rivers | Gian Lorenzo Bernini
Fontana del Tritone | Gian Lorenzo Bernini
Elephant and Obelisk | Gian Lorenzo Bernini
Constantine | Gian Lorenzo Bernini
Angel with the Crown of Thorns | Gian Lorenzo Bernini
Tomb of Pope Alexander VII | Gian Lorenzo Bernini
Habakkuk and the Angel | Gian Lorenzo Bernini
Manneken Pis | Jérôme Duquesnoy the Elder
Milo of Croton | Pierre Puget
The Veiled Christ | Giuseppe Sanmartino
The Bronze Horseman | Étienne Maurice Falconet
Trevi Fountain (Oceanus) | Pietro Bracci
Apollo Served by the Nymphs | François Girardon
Fountain of the Turtles | Taddeo Landini
Voltaire Seated | Jean-Antoine Houdon
Diana | Jean-Antoine Houdon
George Washington | Jean-Antoine Houdon
Psyche Revived by Cupid's Kiss | Antonio Canova
The Three Graces | Antonio Canova
Perseus with the Head of Medusa | Antonio Canova
Napoleon as Mars the Peacemaker | Antonio Canova
Pauline Bonaparte as Venus Victrix | Antonio Canova
Theseus and the Minotaur | Antonio Canova
Hebe | Antonio Canova
Penitent Magdalene | Antonio Canova
Venus Italica | Antonio Canova
Christus | Bertel Thorvaldsen
Jason with the Golden Fleece | Bertel Thorvaldsen
Lion of Lucerne | Bertel Thorvaldsen
The Greek Slave | Hiram Powers
The Veiled Virgin | Giovanni Strazza
Veiled Vestal Virgin | Raffaele Monti
Angel of Grief | William Wetmore Story
Goethe-Schiller Monument | Ernst Rietschel
Equestrian Statue of Frederick the Great | Christian Daniel Rauch
Victoria Memorial | Thomas Brock
The Thinker | Auguste Rodin
The Kiss | Auguste Rodin
The Burghers of Calais | Auguste Rodin
The Age of Bronze | Auguste Rodin
Monument to Balzac | Auguste Rodin
The Walking Man | Auguste Rodin
The Three Shades | Auguste Rodin
Eternal Spring | Auguste Rodin
The Hand of God | Auguste Rodin
Iris, Messenger of the Gods | Auguste Rodin
The Crouching Woman | Auguste Rodin
Danaid | Auguste Rodin
Eve | Auguste Rodin
Adam | Auguste Rodin
The Gates of Hell | Auguste Rodin
St. John the Baptist Preaching | Auguste Rodin
Ugolino and His Sons | Auguste Rodin
The Prodigal Son | Auguste Rodin
Little Dancer of Fourteen Years | Edgar Degas
Statue of Liberty | Frédéric Auguste Bartholdi
Lion of Belfort | Frédéric Auguste Bartholdi
Abraham Lincoln (Lincoln Memorial) | Daniel Chester French
Minute Man | Daniel Chester French
The Republic | Daniel Chester French
Alma Mater | Daniel Chester French
General Sherman Monument | Augustus Saint-Gaudens
Robert Gould Shaw Memorial | Augustus Saint-Gaudens
Diana | Augustus Saint-Gaudens
Adams Memorial | Augustus Saint-Gaudens
Standing Lincoln | Augustus Saint-Gaudens
The End of the Trail | James Earle Fraser
Statue of Freedom | Thomas Crawford
Thomas Jefferson Memorial statue | Rudulph Evans
Emancipation Memorial | Thomas Ball
Kamehameha I | Thomas Ridgeway Gould
The Bronco Buster | Frederic Remington
Coming Through the Rye | Frederic Remington
Vulcan (Birmingham, Alabama) | Giuseppe Moretti
The Little Mermaid | Edvard Eriksen
Christ the Redeemer | Paul Landowski
Prometheus (Rockefeller Center) | Paul Manship
Atlas (Rockefeller Center) | Lee Lawrie
Worker and Kolkhoz Woman | Vera Mukhina
Mount Rushmore | Gutzon Borglum
Crazy Horse Memorial | Korczak Ziolkowski
The Monolith (Vigeland Park) | Gustav Vigeland
Sinnataggen (Vigeland Park) | Gustav Vigeland
Peter Pan (Kensington Gardens) | George Frampton
Eros (Piccadilly Circus) | Alfred Gilbert
Boudicca and Her Daughters | Thomas Thornycroft
Physical Energy | George Frederic Watts
Nelson (Nelson's Column) | Edward Hodges Baily
Equestrian Statue of Joan of Arc (Paris) | Emmanuel Frémiet
Victoria (Berlin Victory Column) | Friedrich Drake
Quadriga (Brandenburg Gate) | Johann Gottfried Schadow
Rock Drill | Jacob Epstein
St Michael's Victory over the Devil | Jacob Epstein
Tomb of Oscar Wilde | Jacob Epstein
The Kiss | Constantin Brâncusi
Bird in Space | Constantin Brâncusi
Mademoiselle Pogany | Constantin Brâncusi
Sleeping Muse | Constantin Brâncusi
Princess X | Constantin Brâncusi
Unique Forms of Continuity in Space | Umberto Boccioni
Head of a Woman (Fernande) | Pablo Picasso
She-Goat | Pablo Picasso
Chicago Picasso | Pablo Picasso
Bull's Head | Pablo Picasso
Kneeling Woman | Wilhelm Lehmbruck
Standing Woman | Gaston Lachaise
Walking Man I | Alberto Giacometti
Man Pointing | Alberto Giacometti
Woman of Venice | Alberto Giacometti
The Chariot | Alberto Giacometti
The Dog | Alberto Giacometti
The Cat | Alberto Giacometti
The Nose | Alberto Giacometti
City Square | Alberto Giacometti
Reclining Figure | Henry Moore
King and Queen | Henry Moore
Nuclear Energy | Henry Moore
Family Group | Henry Moore
Horse and Rider | Marino Marini
Single Form | Barbara Hepworth
Marine Corps War Memorial | Felix de Weldon
The Motherland Calls | Yevgeny Vuchetich
Motherland Monument (Kyiv) | Vasyl Borodai
Soviet War Memorial (Berlin-Treptow) | Yevgeny Vuchetich
Maman | Louise Bourgeois
Spider | Louise Bourgeois
Angel of the North | Antony Gormley
Another Place | Antony Gormley
Event Horizon | Antony Gormley
Quantum Cloud | Antony Gormley
Balloon Dog | Jeff Koons
Puppy | Jeff Koons
Rabbit | Jeff Koons
Michael Jackson and Bubbles | Jeff Koons
Charging Bull | Arturo Di Modica
Fearless Girl | Kristen Visbal
The Kelpies | Andy Scott
Expansion | Paige Bradley
Venus de Milo with Drawers | Salvador Dalí
Space Elephant | Salvador Dalí
Nobility of Time | Salvador Dalí
Cristo de la Concordia | César and Mario Terrazas
Christ of the Abyss | Guido Galletti
Cristo Rei (Lisbon) | Francisco Franco de Sousa
Christ of the Ozarks | Emmet Sullivan
Christ of the Andes | Mateo Alonso
Christ of Havana | Jilma Madera
Martin Luther King Jr. Memorial | Lei Yixin
Famine Memorial (Dublin) | Rowan Gillespie
African Renaissance Monument | Pierre Goudiaby Atepa
Statue of Unity | Ram V. Sutar
Garuda Wisnu Kencana | Nyoman Nuarta
Peter the Great (Moscow) | Zurab Tsereteli
Thiruvalluvar Statue | V. Ganapati Sthapati
Dignity | Dale Lamphere
Spirit of Detroit | Marshall Fredericks
Portlandia | Raymond Kaskey
Rocky Balboa | A. Thomas Schomberg
Balto (Central Park) | Frederick Roth
Alice in Wonderland (Central Park) | José de Creeft
Hans Christian Andersen (Central Park) | Georg Lober
Non-Violence (The Knotted Gun) | Carl Fredrik Reuterswärd
La Mano (Punta del Este) | Mario Irarrázabal
Hachiko | Teru Ando
Greyfriars Bobby | William Brodie
Molly Malone | Jeanne Rynhart
Oscar Wilde (Dublin) | Danny Osborne
Winston Churchill (Parliament Square) | Ivor Roberts-Jones
Genghis Khan Equestrian Statue | D. Erdenebileg
Admiral Yi Sun-sin (Seoul) | Kim Se-choong
David of Sassoun | Yervand Kochar
Wenceslas Monument | Josef Václav Myslbek
Monument to the Discoveries | Leopoldo de Almeida
William Penn (Philadelphia City Hall) | Alexander Milne Calder
Patience and Fortitude (NYPL Lions) | Edward Clark Potter
Trafalgar Square Lions | Edwin Landseer
Jeanneke Pis | Denis-Adrien Debouvrie
Equestrian Statue of Victor Emmanuel II | Enrico Chiaradia
Boy | Ron Mueck
Dead Dad | Ron Mueck
A Girl | Ron Mueck
Alison Lapper Pregnant | Marc Quinn
Self | Marc Quinn
La Nona Ora | Maurizio Cattelan
Him | Maurizio Cattelan
L.O.V.E. | Maurizio Cattelan
Supermarket Lady | Duane Hanson
Tourists | Duane Hanson
Gay Liberation | George Segal
Verity | Damien Hirst
Hymn | Damien Hirst
The Virgin Mother | Damien Hirst
Rumors of War | Kehinde Wiley
The Awakening | J. Seward Johnson Jr.
Unconditional Surrender | J. Seward Johnson Jr.
Forever Marilyn | J. Seward Johnson Jr.
Agora | Magdalena Abakanowicz
The Three Soldiers | Frederick Hart
Korean War Veterans Memorial | Frank Gaylord
Vietnam Women's Memorial | Glenna Goodacre
Bird (Medellín) | Fernando Botero
Broadgate Venus | Fernando Botero
Dream | Jaume Plensa
Le Pouce (The Thumb) | César Baldaccini
COMPANION (Passing Through) | KAWS
Oscar statuette | George Stanley


Bernini, Apollo and Daphne lol
